class,comment
positif,Kami siap laksanakan Instruksi pak
positif,Siap melaksanakan intruksi pak
positif,Siap dukung dan sukseskan
positif,Langkah 3M ini sudah sukses di Bali memutus penyebaran covid pak presiden
positif,Siap amankan seluruh kebijakan kementerian Desa PDTT
positif,Siap utk di sosialisasikan ke setiap TPP yg ada di wilayah kabupaten Boltim
positif,Mendukung kebijakan Gus Menteri dalam upaya pencapaian SDGs Desa 3 yaitu Desa Sehat dan Sejahtera
positif,Mari bersama cegah penyebaran covid-19
positif,Mari kita sukseskan ppkm di masyarakat
positif,Siap kawal dan amankan kebijakan kemendes palaksanaan PPKM untuk kemajuan dan kesejahteraan masyarakat desa
positif,Semoga pak gubernur terus diberikan kekuatan untuk lanjutkan pengabdian bagi masyarakat..... langkah yang tepat akan mendapat pahala dari Allah SWT... bila semua niat karena ibadah.â€¦
positif,Semoga bapak selalu diberi kesehatan amin....salam dari kota reog Ponorogo jawa timur bapak
positif,Semangat selalu
positif,Semoga berhasil...mikro lockdown
positif,patuhi prokes dan terapkan 5M
positif,terimakasih atas layanan vaksin untuk warga lansia  yg sangat baik dan profesional semoga  layanan profesional tetap jadi standar Pemda DKI amin
positif,Sehat selalu pemimpinku
positif,Semoga selalu diberikan kesehatan dan kesabaran 
positif,semoga pandemi segera berakhir. Mau ikut vaksin tapi takut di suntik. he he
positif,"Makasih bu, sukses selalu"
positif,"tetap patuhi prokes , dukung penuh"
positif,Bravo buat dokter seluruh dunia khususnya di Indonesia telah berdiri di garda terdepan
positif,Aduh semoga dipercepatlah vaksin masal utk seluruh rakyat itu ya..biar agak kurang was wasnya
positif,Siap komandan
positif,Mari saling mengingatkan dilingkungan kita masingÂ²
positif,kami mendukung pemerintah memutuskan rantai covid 19 ditingkat keluarga untuk mendidik dan menasehati anak istri menurut prokes sebagian sop.
positif,Mari saling mengingatkan dilingkungan kita masingÂ²
positif,"Semoga pandemi cepat hilang,,,,, perekonomian pulih"
positif,"Moga cepat normal, sampai kapan kita semua seperti ini ya..?? Tetap pada protokol Covid, jaga sehat dan tetap SEMANGAT"
positif,"Ingat 5M ( memakai masker, mencuci tangan pakai sabun, menjaga jarak, menjauhi kerumunan dan membatasi mobilitas).""BERSAMA LAWAN COVID-19"""
positif,doakan saja supaya sampai bulan maret 2022
positif,Klo memang ada trend positif selama ppkm mikro kita harus bersyukur
positif,"Siap, Insya Allah tetap semangat, Pak...Terima kasih ya, Pak"
positif,Semoga covid cepat berlalu
positif,Terimakasih dr Restuti Saragih infonya..Aduh..jgn bertambah lagi pasien covid di medan
positif,Terima kasih info.a Bu dokter.Bravo buat dokter seluruh dunia khususnya di Indonesia telah berdiri di garda terdepan
positif,"Iya, Kakak...Aamiin YRA...Dan meskipun udah vaksin, wajib tetap prokes"
positif,Masha Allah Tabarakallah keren banget dek. Sehat dan sukses selalu sayang
positif,Alhamdulillah...yang penting sehat panjang umur....punya duit banyak ya nggak apa-apa
positif,"Alhamdulillah Brunei Darussalam sudah nol covid19,somoga saudara di Indonesia bisa"
positif,Maju pak Joko Wi jangan mundur asal mundur kasihan rakyat menangis bosku
positif,"Kebijakan yg baik dan efektif gini mestinya didukung, bukan malah dinyinyirin mbak2 dan mas2. Ayo lah dukung keberlanjutan PPKM berskala mikro biar bs tekan kasus baru Covid-19"
positif,Mantap pak lanjutkan Sampai 2022
positif,"Tetap pada protokol Covid, jaga sehat dan tetap SEMANGAT"
positif,Bersama Cegah Covid
positif,Indonesia BEBAS COVID 19 masyarakat SEHAT
positif,Mari kita saling jaga kesehatan masing masing di manapun tempat nya
positif,Sehat-sehat dan tetap semangat
positif,Salut tetep semangat buat kerja keras tuk menolong sesama
positif,"Setuju banget pak.. yang penting kita saling menjaga dan saling mengingatkan, jaga kebersihan dan keamanan bersama"
positif,Salut tetep semangat buat kerja keras tuk menolong sesama
positif,Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19#divisihumaspolri#patuhiprokes#AyoJogoBlitar#bebasCovid19#PPKMMikro https://t.co/HZw0xfTZ8A
positif,Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19#divisihumaspolri#patuhiprokes#AyoJogoBlitar#bebasCovid19#PPKMMikro https://t.co/HZw0xfTZ8A
positif,Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19#divisihumaspolri#patuhiprokes#AyoJogoBlitar#bebasCovid19#PPKMMikro https://t.co/HZw0xfTZ8A
positif,Kapolsek Selorejo pimmpin pelaksanaan pengawasan PPKM dan pembagian masker kepada jamaah sholat Jum'at di Masjid Al- Munir desa Sumberagung.#divisihumaspolri#patuhiprokes#AyoJogoBlitar#bebasCovid19#PPKMMikro https://t.co/lnxiWklj7q
positif,SURAT EDARAN BUPATI TENTANG PERPANJANGAN KEDUA PPKM MIKRO DAN PENGOPTIMALAN POSKO PENANGANAN CORONA VIRUS DISEASE 2019#MadiunInfo #InformasiMadiun #beritamadiun #MadiunNews #kabarMadiun #wisataMadiun #peristiwamadiun #ppkmmikro #prokes #operasiyustisi https://t.co/AMtVMfHKTl https://t.co/F4kYA0daff
positif,pencegahan penularan Covid-19 harus dilaksanakan dr lingkungan terkecil.Realisasikan posko tanggap corona di setiap desa/kelurahan.#LawanCovid19 #PPKMMikro#1JutaVaksinasiAman https://t.co/wVsTsg4Lsx
positif,PPKM Mikro Efektif Berhasil Menekan Kasus Baru Covid-19#indonesia #COVID19 #ppkmmikro #protokolkesehatan#janganlupakan5m https://t.co/1KIIwqU6cD
positif,#Masker_KU_melindungi_MU#Masker_MU_melindungi_KU    Polsek Ngunut melaksanakan Penerapan PPKM MIKRO guna menumbuhkan kesadaran masyarakat tentang ProKes 5M#saluspopulisupremalexesto#polrestulungagung#pidpolsekngunut#ppkmmikro#jatimbermasker#guyubrukun https://t.co/FYvbrbQvVY
positif,Bhabinkamtibmas Polsek Sumbang Desa Kedungmalang Aiptu Diya N sambangi bidan desa untuk berkoordinasi kegiatan bersama 3 pilarÂ  observasi convid 19 di desa binaan.#Jatenglawancorona #Ikutiaturancegahcorona #ppkmmikro#Amandirumah #Dirumahaja #Adaptasikebiasaambaru https://t.co/cvxi2Udqpe
positif,"Bhabinkambmas Desa Ngasinan Aiptu Bambang ADT bersama Babinsa Serma Lusyono, Bidan Desa dan Perdes Ngasinan mengantarkan warga untuk Swab di Puskesmas Weru Kabupaten Sukoharjo.Jumat, 12/3/21#humas_poldajateng #infopolisisukoharjo#polisisukoharjo#ppkmmikro. https://t.co/vU5ABZbuMH"
positif,For your information!PPKM Mikro Efektif Berhasil Menekan Kasus Baru Covid-19#indonesia #COVID19 #ppkmmikro #protokolkesehatan https://t.co/3JTlPo1pWo
positif,Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19#divisihumaspolri#patuhiprokes#AyoJogoBlitar#bebasCovid19#PPKMMikro https://t.co/L8dTHeGOZH
positif,Pam Prokes PPKM Mikro #Madiun Siapkan 14 Titik Pemeriksaan - #MadiunInfo #InformasiMadiun #beritamadiun #MadiunNews #kabarMadiun #peristiwamadiun #ppkmmikro #prokes #operasiyustisi #covid19#sarscov2 #satgas #posko #forkopimda #bupati #kabupatenmadiunhttps://t.co/FliofUyFti https://t.co/3x72ATVmYa
positif,"Tim Satgas Covid-19 Desa Ngasinan Kecamatan Bulu melaksanakan Tracking kepada warga masyarakat dalam rangka Penerapan Kebijakan PPKM Mikro untuk Mencegah Penularan Covid 19.Kamis, 11/3/21@yugo_bambang #humas_poldajateng #infopolisisukoharjo#polisisukoharjo#ppkmmikro https://t.co/sTaOCjnHOJ"
positif,Klo memang ada trend positif selama ppkm mikro kita harus bersyukur
positif,"PPKM Mikro Kota Malang Perpanjangan, Razia Masker Makin Rajin, Perpanjangan PPKM mikro Kota Malang tidak menurunkan semangat aparat. Sebaliknya, petugas gabungan semakin getol menggelar operasi yustisi #PPKMmikro #kotamalanghttps://t.co/2bBwgUhrnG"
positif,"https://t.co/sLbZJ0n3EW, #Kediri â€“ Pemerintah Kabupaten #Kediri resmi memperpanjang kebijakan Pemberlakuan Pengetatan Kegiatan Masyarakat...#BeritaKediri #Covid19 #KabupatenKediri #PpkmMikro #SatgasCovid19KabupatenKedirihttps://t.co/vUyd4NA5R0"
positif,"Mulai Malam Ini! Ada 35 Jalan di Kota Bandung Ditutup Selama Long Weekend, Ini Daftar Lengkapnya#bandung #ppkmmikro #longweekend https://t.co/wKuwOOpiXF"
positif,RT @diskominfo_grob: Perpanjangan Pemberlakuan Pembatasan Kegiatan Masyarakat mulai 9 s/d 22 Maret 2021#ppkmmikro#ppkm2021 #BersatuMelawanCovid19 https://t.co/1bpC6eIBfC
positif,Pemerintah menetapkan beberapa wilayah prioritas penerapan PPKM mikro di tujuh provinsi #Ppkmmikro https://t.co/0YFWkqKHus
positif,Perpanjangan Pemberlakuan Pembatasan Kegiatan Masyarakat mulai 9 s/d 22 Maret 2021#ppkmmikro#ppkm2021 #BersatuMelawanCovid19 https://t.co/1bpC6eIBfC
positif,"RT @arjuna16sp: Sebagai Mitra, #PendampingDesa mendampingi Tim Posko Desa Aman Covid19ğ—£ğ—¼ğ˜€ğ—¸ğ—¼ ğ—¡ğ—®ğ—´ğ—¼ğ—¿ğ—¶ ğ—”ğ—ºğ—®ğ—» ğ—–ğ—¼ğ˜ƒğ—¶ğ—±ğŸ­ğŸµ ğ—¡ğ—®ğ—´ğ—¼ğ—¿ğ—¶ ğ—£ğ—²ğ—ºğ—®ğ˜ğ—®ğ—»ğ—´ ğ—”ğ˜€ğ—¶ğ—¹ğ˜‚ğ—º ğŸ®ğŸ¬ğŸ®ğŸ­@halimiskandarnu @taufikmadjid71@yusradaridesa @tppkemendes#ğ‘ƒğ‘ƒğ¾ğ‘€ğ‘€ğ‘–ğ‘˜ğ‘Ÿğ‘œ https://t.co/cuA4CRHmp"
positif,PPKM mikro diperluas hingga luar kota #PPKM #ppkmmikro https://t.co/zsbonITaRl
positif,"Sebagai Mitra, #PendampingDesa mendampingi Tim Posko Desa Aman Covid19ğ—£ğ—¼ğ˜€ğ—¸ğ—¼ ğ—¡ğ—®ğ—´ğ—¼ğ—¿ğ—¶ ğ—”ğ—ºğ—®ğ—» ğ—–ğ—¼ğ˜ƒğ—¶ğ—±ğŸ­ğŸµ ğ—¡ğ—®ğ—´ğ—¼ğ—¿ğ—¶ ğ—£ğ—²ğ—ºğ—®ğ˜ğ—®ğ—»ğ—´ ğ—”ğ˜€ğ—¶ğ—¹ğ˜‚ğ—º ğŸ®ğŸ¬ğŸ®ğŸ­@halimiskandarnu @taufikmadjid71@yusradaridesa @tppkemendes#ğ‘ƒğ‘ƒğ¾ğ‘€ğ‘€ğ‘–ğ‘˜ğ‘Ÿğ‘œ https://t.co/cuA4CRHmpJ"
positif,pencegahan penularan Covid-19 harus dilaksanakan dr lingkungan terkecil.Realisasikan posko tanggap corona di setiap desa/kelurahan.#LawanCovid19 #PPKMMikro#1JutaVaksinasiAman https://t.co/iOn35iGQzq
positif,Jam Operasional Usaha Perdagangan Diperpanjang https://t.co/6kt1D3bizb #PPKMMikro #berita #nusabali
positif,"#Masker_KU_melindungi_MU#Masker_MU_melindungi_KU    PPKM MIKRO dan Pembentukan Posko penanganan Covid_19 mulai tingkat Desa, Kelurahan, RT/RW dalam rangka upaya memutus penyebaran Covid_19#polrestulungagung #pidpolsekngunut #polripresisi #ppkmmikro #guyubrukun https://t.co/WuRldTUZi3"
positif,"6 Daerah di Sumut Terapkan PPKM Mikro, Termasuk Pematangsiantar dan Simalungun#PPKM #PPKMMikro #Sumut https://t.co/4wvzLJ8p4I"
positif,@restulungagung Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat. . #ppkmmikro #protokolkesehatan #polrestulungagung #guyubrukun #akbphandonosubiakto01
positif,@restulungagung Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat. . #ppkmmikro #protokolkesehatan #polrestulungagung #guyubrukun #akbphandonosubiakto01 https://t.co/mStQaWsIuf
positif,Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat. . #ppkmmikro #protokolkesehatan #polrestulungagung #guyubrukun #akbphandonosubiakto01 https://t.co/pAh0sASP9W
positif,Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat. . #ppkmmikro #protokolkesehatan #polrestulungagung #guyubrukun #akbphandonosubiakto01 https://t.co/M020NdO6r6
positif,"RT @humas_jogja: Berdasarkan Instruksi Gubernur Daerah Istimewa Yogyakarta Nomor: 7/INSTR/2021, diberlakukan perpanjangan PPKM Mikro DIY mulai 9 Maret hingga 22 Maret 2021.  #PPKMMikro #PTKM #JogjaIstimewa #InstruksiGubernur https://t.co/saiXMHz1S9"
positif,Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat. . #ppkmmikro #protokolkesehatan #polrestulungagung #guyubrukun #akbphandonosubiakto01 https://t.co/LcG8qek9Uu
positif,Pemerintah Kembali Perpanjang PPKM Mikro
positif,Gubernur WH: PPKM Mikro Diperpanjang Sampai Covid-19 Terbirit-Birit - https://t.co/4VMTkKm0tR #ppkmmikro #banten @PemprovBanten @DPRDBANTEN https://t.co/6Uawtg6pg0
positif,"RT @humas_jogja: Berdasarkan Instruksi Gubernur Daerah Istimewa Yogyakarta Nomor: 7/INSTR/2021, diberlakukan perpanjangan PPKM Mikro DIY mulai 9 Maret hingga 22 Maret 2021.  #PPKMMikro #PTKM #JogjaIstimewa #InstruksiGubernur https://t.co/saiXMHz1S9"
positif,"PPKM Mikro Di Jawa Timur Diperpanjang, Wakapolda Jatim : Masyarakat Harus Tetap Patuhi Prokes | https://t.co/KpsyUtNpIS  #poldajatim #ppkm #ppkmmikro #jawatimur #prokes https://t.co/8tqgIC7FsN"
positif,"Pantau Posko PPKM Mikro di Purwakarta, Begini Kata Kapolda Jabar ğŸ‘‡ https://t.co/VtTb5FKvEP  #jabarnews #beritalokal #beritahiperlokal #harianjabar #jabartoday #beritajabar #beritajawabara #jawabarat #jabar #patauposko #ppkmmikro #purwakarta #kapoldajabar #polisi https://t.co/AxKVvzF18g"
positif,Klo memang ada trend positif selama ppkm mikro kita harus bersyukur
positif,Bupati #Madiun Belum Izinkan Warga Gelar Kegiatan Sosial Budaya â€“ #MadiunInfo #InformasiMadiun #beritamadiun #MadiunNews #kabarMadiun #peristiwamadiun #ppkmmikro #prokes #operasiyustisi #covid19 #sarscov2 #bupati #pemkab #kabupatenmadiun #madiunkab https://t.co/ag0OZfgokk https://t.co/vlTMzJ1gUY
positif,"PPKM Mikro jadi Fokus Pemkab Bulungan Atasi Covid-19, Syarwani: Pemanfaatan Refocusing Anggaran  https://t.co/kwXfqVXSsQ via @Tribun_Kaltara #PPKMMikro #fokus #Pemkab #Bulungan #atasi #Covid19 #Syarwani #Refocusing #Anggaran"
positif,"RT @humas_jogja: Berdasarkan Instruksi Gubernur Daerah Istimewa Yogyakarta Nomor: 7/INSTR/2021, diberlakukan perpanjangan PPKM Mikro DIY mulai 9 Maret hingga 22 Maret 2021.  #PPKMMikro #PTKM #JogjaIstimewa #InstruksiGubernur https://t.co/saiXMHz1S9"
positif,Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19 #divisihumaspolri #patuhiprokes #AyoJogoBlitar #bebasCovid19 #PPKMMikro https://t.co/YM3sB4c68t
positif,Bupati Jombang Tandatangani Perpanjangan PPKM Mikro Tahap Tiga https://t.co/1BaDIH8rDL  #ppkmmikro #Jombang #JawaTimur #Jurnaljatim #Beritaonline #COVID19 #mundjidahwahab
positif,RT @arjuna16sp: Pemaparan #GusMenteri tentang #PPKMMikro di Desa pada Rakornas PB 2021. @jokowi @halimiskandarnu @imansyukri @malik_haramain @taufikmadjid71 @yusradaridesa @fachrilabalado @SukoyoKasekpro @Brigade01Arwan1 @Erwin3977 https://t.co/z8WArW8DSM
positif,"""Kami memperpanjang pembatasan sosial berskala besar melalui PPKM berbasis mikro,"" uckap Bupati Bogor Ade Yasin di Bogor, Selasa (09/03/2021). #Ppkmmikro #PemkabBogor  https://t.co/pxXYICt2H4"
positif,RT @riduwandaddu: Sukseskan PPKM Mikro diperpanjang hingga 22 Maret 2021 #ppkmmikro https://t.co/hAMUn5P96h
positif,"RT @humas_jogja: Berdasarkan Instruksi Gubernur Daerah Istimewa Yogyakarta Nomor: 7/INSTR/2021, diberlakukan perpanjangan PPKM Mikro DIY mulai 9 Maret hingga 22 Maret 2021.  #PPKMMikro #PTKM #JogjaIstimewa #InstruksiGubernur https://t.co/saiXMHz1S9"
negatif,"Ayo mana suar buzzer dan orang dekat dg Jokowi, petinggi negeri ini tentang kerumunan dan melanggar protokol kesehatan yg dilakukan oleh jokowi, ayo mana nyinyirnya"
negatif,Bansos Februari blom cair Gimana nih sistemnya
negatif,duit bansos abis bos??!! blm ditransfer juga udah lewat 1 bulan.PEMERINTAH TUKANG BERAK..!!!!!
negatif,"Neken terus, klo gak neken mana enak sampe mentok"
negatif,"Bencana dimana-mana, bansos salah sasaran , masyarakat kecil nggak dapat bantuan, makin murka tuhanku"
negatif,Aturan ini lah itu lah. Repot bener. Dia bilang kecewa sm ppkm tapi mobilitas tetap meningkat. Simple sebetulnya. Pake otak yg jernih. Stop atau tutup spbu. Jngn keluarkan atau jual bbm. Sudah. Tamat
negatif,Tinggal bilang PSBB 1 tahun penuh aja gimana? Daripada diberi kepastian g jelas kapan berakhir PSBBnya
negatif,Setahun lalu yg terkena covid19 cuma 3 orang...pake psbb..sekarang jadi 1 juta...piye jal
negatif,Dahulu Jakarta dan sekitarnya mau lockdown .. eh dilarang2 ..Padahal cuman modal 10 triliun buat 2 bulan ..Malah sekarang anggaran covid ratusan triliun ..Dana bansos dikorupsi ..Weleh2
negatif,"D Bali rakyat menangis ppkm bukan solusi pak,malah menambah beban masyarakat terutama pedagang.. ekonomi sulit malah d batasi untuk mencari uang coba mikir dengan jernih lihat fakta d lapangan jngan lihat data palsu,kasian masyarakat selalu d jadikan korban,klw terus seperti ini nanti bnyak yg berontak jngan salahkan masyarkat nya mereka semua sdah capek ngomong baik"" gak pernah d tanggapi"
negatif,Masjid  juga jangan disekat pakai jaga jarak lagi. Lah ! wong pertunjukan musik dan kebudayaan saja boleh
negatif,"Duh...gimana sih, orang pesta perkawinan aja dibubarin, ini kok diizinkan"
negatif,"Zona hijau kakak..yg merah, oranye,kuning tetep gigit jari.. ahh sudahlah.. capek di bohongi"
negatif,Udh babas om kemaren KLB  demokrat berjalan lancar walaupun Tanpa izin. Banyak lo pesertanya Dan ada yg bekerumun
negatif,"Gimana mau percaya, orang kerumunan dilarang eh malah ada kaisar yang spontanitas mengundang kerumunan Dahlah.â€¦ Politik itu kejam, kekuasaan adalah hal paling keji untuk merusak harkat keadilan"
negatif,"Ahirnya Adanya Hanya Pembodohan Generasi Bangsa,,, kalau Sekolahan, Tdk Di Buka"
negatif,Imbas dr pemerintah yg gagap dlm penanganan awal pandemi
negatif,"apa bedanya seberangnya masih bisa dilalui, kebijakan yg absurd dan merugikan banyak pihak terutama pemakai jalan dan warga sekitar yg harus memutar lbh jauh"
negatif,Parahnya yg jadi warga pendatang yg bekerja dilapis bawah dengar sdh kesampaian makan bubur supaya berasnya bisa di gunakan berhari hari mau pulang kedaerahnya dk punya ongkos bertahan di Bali tetpakasa
negatif,"Yg miskin makin miskin, yg kaya makin semena. Bikin kebijakan setengah dan penyampaian nya kaya edukasi anak paud"
negatif,Alangkah baik nya pemangku kepentingan pejabat memikirkan supaya rakyat kecil bisa makan gk resa karena ketakutan gk bisa makan kebijakan yang slalu rakyat mengelu tolong pak pikirkan rakyat
negatif,Sampai PPKM berlanjut terus dan semakin menyusahkan masyarakat sendiri
negatif,Coba aja liat sepanjang jalan dari mampang ke arah pasr minggu .. Trotoar yg di bangun pake uang pajak rakyat yg jumlahnya milyaran .. Hanya jd tmp yg nyaman ..buat .tukang nasi goreng . pecel lele dan parkir liar
negatif,"Kerjanya ninjau terus, giliran ada yg bermasalah seperti rumah DP 0% bilangnya gak tau??"
negatif,"Ko itu ada pengamen ondel2 didiemin, ngamen pake atribut Betawi tuh, dan gaa sedikit byk di lapangan"
negatif,Yang melapangkan trotoar demi kenyamanan sepihak tapi pihak lain dibuat tak nyaman
negatif,"Pak gubernur ga ada kah ide lain selain pembatasan pembatasan dan pembatasan??? Udh 1 tahun lo ini, katanya dpet uang bantuan dari pusat nyatanya sampe sini yg muncul aturan pembatasan trus"
negatif,Hahaha......sakit hati kok bertahun-tahun yak....hahaha.... awas setruk.....haha
negatif,"Pak Anies, yg miskin yg pnghasilannya UMP apa yg 14jt? Janjinya dulu yg miskin bisa punya rmh. Kok yg UMP yg miskin ttep ngontrak? Tapi anda msih boleh bangga. Tuh wkt bpk antusias boongin warga miskin, Bpk masih mndpt Applaus hebih dr jkt58"
negatif,"Saya mohon dengan hormat bapak petugah yang sangat bijaksana ,,,, tolong pabrik garmen itu banyak kerumunan di tutup to pak jangan pilih,, itu orang dari mana,, kumpul jadi satu kok di biarkan ,,,,, jangan yang kecil,, kasihan pak trimakasih"
negatif,Lanjutkan pak sampai rakyatmu mati kelaparan
negatif,SIAPA YANG PALING BERWENANG DGN MASALAH PEMBODOHAN INI TOLONG JELASKAN BAGI YG MENGERTI
negatif,"Mereka bilang covid itu konspirasi pemerintah. Mereka ga pake masker katanya aturan Allah aja ga diikutin, ngapain ikutin aturan pemerintah"
negatif,"Sudah satu tahun muter2 dengan covid hasilnya bertambah saja berarti covid tidak perlu ditakuti klu sakit berobat sama dokter,tetap patuhi porkes,kegitan masyarakat tetap dibuka seluas2nya"
negatif,Yg terjadi sekarang itu kejangkitan massal bukan kematian massal.. bkn seperti yg di gembar gemborkan seperti di China orang tiba ambruk dan mati di jalanan
negatif,"Namanya ppkm mikro, mikro : kecil. Berarti yg kena sasaran rakyat kecil"
negatif,Jualan dibatasi sampai jam 9 malam.Kenapa garment kalau lembur sampai tengah malam tetep boleh????padahal berkurumun
negatif,pemerintah terlalu berlebihan dalam menangani covid. beritanya lebih berbahaya dan kejam dari virusnya
negatif,Aku lihat di lapangan protokol kesehatan kira patuh cuma 75 persen masih banyak yg abaikan protokol kesehatan
negatif,"Kalau garmen di buka tolong anak,, kita yang sekolah di masukan lagi kasihan generasi penerus bangsa lo pak anak,, kita itu"
negatif,"Kerjanya emang malam kok di razia, dasar koplak sudah gak punya hati nurani"
negatif,"Ini udah diganti berapa kali dari mulai psbb, pkpm trus sekarang ganti lagi ppkm mikro trus dari ke 2 hasilnya apa malah bikin rakyat menderita aja boro turun angka positif yg ada malah meningkat"
negatif,ujung-ujungnya dana bansos diberitakan dikorupsi bahkan dirancang sejak awal pandemi
negatif,"Terlalu di besar-besarkan, pandemi covid-19 iniâ€¦ Tidak mikir, orang yang penghasilannya dapat hari ini, untuk di makan besok"
negatif,Setiap yg sakit.di bilang corona .fimana ga banyak yg d bilang kena.. Pengalaman sendiri
negatif,benar banget tuh.â€¦ pemerintah jadikan covid ladang usaha.... yng bikin rakyat kecil mati kelaparan
negatif,"Sudah tau gagal, malah diterusin :) mau marah tp takut diserang pendukungnya, pasrah aja udah"
negatif,"Kasihan masyarakat kecil pak, mareka susah buat makan saja masih sangat bingung, kerjaan nggak ada, semua tutup, kemana mana serba dibatasi, diam dirumah,...terus kami makan apa bapak Presiden"
negatif,Aktivitas masyarakat jangan lah di batasi ....yg kena covid saja di kurung ....biar ekonomi tumbuh kembali berikan kebijakan yg bijaksana biar masyarakat tidak kelaparan Hilangkan ppkm tu
negatif,"Semakin ppkm semakin meningkat angka covid, berarti nggak ada guna ni ppkm"
negatif,RT @jpnncom: Tiga provinsi yang tak menjalankan kebijakan PPKM dan PPKM skala mikro menunjukan peningkatan kasus aktif Covid-19. #Ppkmmikro https://t.co/sOhi56lRZA
negatif,Tiga provinsi yang tak menjalankan kebijakan PPKM dan PPKM skala mikro menunjukan peningkatan kasus aktif Covid-19. #Ppkmmikro https://t.co/sOhi56lRZA
negatif,Jam Tutup Usaha Dilonggarkan Jadi Pukul 22.00 Wita https://t.co/HwFdBrSvVI #berita #nusabali #JamMalam #PPKMMikro #pandemi
