class,comment
negatif,RT @IndonesiaBaikId: Hai SohIB! Kebijakan #PPKMMikro akan diperpanjang lho. Cakupannya pun akan diperluas. Mengapa?#IndonesiaBaik #YangMudaSukaData #DailyIssue #Infografis #PPKM #PSBB #COVID19 #KominfoNewsroom @BNPB_Indonesia https://t.co/110aezdisX
negatif,Begini Pesta Ultah Pedangdut Lara Silvi yang Digelar tanpa Pakai Masker dan Berkerumun#protokolkesehatan #melanggarprokes #wajibmasker #tanpamasker #kerumunan #ppkm #ppkmmikro #cafedefins #larasilvi #dangdut #psbb #viruscorona #viruscovid19 #covid19 #coronahttps://t.co/UqwLrJu8oN
negatif,"Rembang, https://t.co/F73HKt1Ygv â€“ Pemerintah Kabupaten Rembang memberikan izin kepada pelaku wisata untuk beroperasi selama empat hari dalam satu minggu di masa pemberlakuan pembatasankegiatan masyarakat (PPKM) skala mikro. #KabupatenRembang #ppkmmikrohttps://t.co/9NvWMcXO3m https://t.co/YM2qsgyyzz"
negatif,Restoran-Mall Bisa Buka hingga Pukul 22.00 Wita https://t.co/UdYIp6OBdu #PPKMMikro #berita #nusabali #pandemi #COVID19 #JamMalam
negatif,Hahaha......sakit hati kok bertahun-tahun yak....hahaha.... awas setruk.....haha
negatif,Masih banyak aja orang2 yang berkeliaran #tanpamasker... Wajar kalau #personilmedis sampai #mogokkerja... #INDONESIATERSERAH
negatif,Hahaha......sakit hati kok bertahun-tahun yak....hahaha.... awas setruk.....haha
negatif,"Dia sering muncul di media dalam berbagai kegiatan kenegaraan #tanpamasker. Mengapa tak pakai masker, Pak? ""Pilihan pribadi"". Tak ada sangsi, tak ada denda. Siapa sih bapak itu? Dia presiden! Hari ini ada liputan yang memberitakan bahwa ini kali pertama Trump mengenakan masker."
negatif,Ribuan warga demonstrasi menolak kebijakan lockdown dan protokol kesehatan termasuk menentang pemakaian masker. #TanpaMasker
negatif,"Langgar Aturan, Tasyakuran Kelahiran Anak Dibubarkan. #wartajateng #langgarppkm #langgarpsbb"
negatif,Jualan dibatasi sampai jam 9 malam.Kenapa garment kalau lembur sampai tengah malam tetep boleh????padahal berkurumun
negatif,"Kerjanya ninjau terus, giliran ada yg bermasalah seperti rumah DP 0% bilangnya gak tau??"
negatif,"Kerjanya ninjau terus, giliran ada yg bermasalah seperti rumah DP 0% bilangnya gak tau??"
negatif,"Kafe RM Langgar PSBB, Bambang Ismadi Sebut Ketiga Kalinya https://fajar.co.id/2021/02/26/kafe-rm-langgar-psbb-bambang-ismadi-sebut-ketiga-kalinya/â€¦ #BambangIsmadi #KafeRM #LanggarPSBB"
negatif,"Dua kafe di Dago, Kota Bandung disegel tim gugus tugas covid-19 karena melanggar dengan melebihi batas waktu operasional di saat pemberlakuan PSBB untuk memutus mata rantai penularan covid-19. Baca selengkapnya klik https://bit.ly/3cTwaqc #NewsOne #vivanews #LanggarPSBB"
negatif,"Langgar PSBB, 101 Perusahaan Ditutup Sementara Ahttp://arahkita.com/news/read/22027/langgar_psbb__101_perusahaan_ditutup_sementaraâ€¦ #BeritaTerkini #BeritaJakarta #Jakarta #PSBB #PSBBJakarta #Perusahaan #LanggarPSBB #Nasional #NewsUpdate #news #Berita #COVID19 #Corona"
negatif,Ini Sanksi bagi Pelanggar PSBB DKI Jakarta Menurut Pergub 41/2020 https://arahkita.com/news/read/22453/ini_sanksi_bagi_pelanggar_psbb_dki_jakarta_menurut_pergub_41_2020_â€¦ #BeritaTerkini #BeritaJakarta #Jakarta #PSBB #PSBBJakarta #PelanggarPSBB #Sanksi #Pergub #GubernurDKI #AniesBaswedan #Nasional #NewsUpdate #news #Berita
negatif,Depok Siapkan Sanksi Pidana bagi Pelanggar PSBB https://arahkita.com/news/read/22277/depok_siapkan_sanksi_pidana_bagi_pelanggar_psbbâ€¦ #BeritaTerkini #Depok #JawaBarat #PemkotDepok #SanksiPidana #PelanggarPSBB #PSBB #PSBBdepok #COVID19 #CegahCOVID19 #Nasional #NewsUpdate #news #Berita
negatif,"""Obat nganggur adalah berkumpul dan mengobrol, setelah dari itu......nganggur lagi"" #PelanggarPSBB #astagfiraullah #pemudabiasaaja"
negatif,Bagi masyarakat melanggar PSBB di Jakarta akan dimasukan ke dalam peti jenazah. #PelanggarPSBB
negatif,"susah emang kalo pas kecil kerjaannya ngomong ""peraturan tuh dibikin buat dilanggar...*sambil petantang-petenteng cengar-cengir merasa paling kece* "" #pelanggarpsbb #prihatin"
negatif,Tempat hiburan karaoke dan bar milik Ahmad Dhani di kawasan Mangga Besar tepergok melakukan pelanggaran PSBB. #karaokemasterpiece
negatif,"Warga Masih Cuek Tak Pakai Masker, Polisi Gencarkan Patroli di Pasar #IniKebumen #WargaCuek #TanpaMasker #COVID19"
negatif,BACOT!!! Tolak PSBB!! Tolak PPKM!!. Tolak Lockdown!! Kagak ngaruh ya pantek!
negatif,PKL Hingga Pedagang Kecil di Malioboro Kompak Tolak PPKM Diperpanjang
negatif,"Yang punya warung makan ngomong ke Pol PePe: ""Kalian enak dapat gaji, kami dapat apa? "" Tolak PPKM dan PSBB, orang yang nurut dari PSBB awal sudah lelah."
negatif,"Tanpa Kompensasi Dan Solusi, Pelaku Usaha Di Jateng Tolak Perpanjangan PPKM"
negatif,PHRI Demak Tolak PerpanjanganÂ PPKM
negatif,Ganjar Pranowo Soroti Keinginan Bupati Karanganyar Tolak Perpanjangan PPKM Jilid II
negatif,"Tolak Kebijakan Pusat, Kota Surabaya Minta Dikecualikan dari PPKM"
negatif,"Drpd diketatkan, baiknya dihentikan PPKM. Blm prnah ada PPKM/PSBB memiliki dampak trhadap kasus. Tp lindungi nakes. Tolak pasien yg abai 5M. RS hanya menerima mrk yg patuh 5M"
negatif,"Gara gara PPKM, weekendku suram.! Weekend hanya goleran saja. Dah bingung mau nonton apa lagi. Dah bosen di rumah.!"
negatif,"Gajian tetep penuh, ga kepotong gara-gara omset sepi mergo PPKM Mikro kontolamoh"
negatif,"gara gara ppkm, nyari comfort food jam segini emang susah, pada tutup semua"
negatif,Akhirnya pegang hp setelah 2 hari ga pegang gara gara ppkm menyiksa
negatif,Aiihh gara gara ppkm aku buang penawaran2 baik untuk besok *padahal kan hrs nya bsk jd hari menyenangkan
negatif,gara gara ppkm atau apalah w belom keluar rumah yang bener2 pergi hangout samsek padahal kan aku sudah mencapai semua goalsku
negatif,Ini gara gara ppkm tutup jam 7 dibekasi jdi ngamuk? Hahaha
negatif,"PPKM tidak efektif. Tidak EFEKTIF. Tau ga kita dirumahkan lagi gara-gara PPKM? Dan ternyata PPKM TIDAK EFEKTIF. Implementasi tidak sesuai dengan harapan, angka covid tetep naik. Ya Allah, dipikir nafkah orang nih mainan apa ya?"
negatif,"Besok kemana ? Niat pengen main udah cerah, cuma tujuannya masih gelap -_- Gara-gara PSBB, PPKM, terus ada PPKM mikro. nanti ubah lagi jadi PPKM mikro revisi, PPKM mikro fiks ya Allah"
negatif,"2 Pekan PPKM Kota Bandung, Kasus Covid-19 Masih Naik"
negatif,"tolonglah pejabat2 pembuat keputusan PPKM di baca ini komentar dari rekan2 disini, ga efektif sama sekali, mending sudahi saja biarkan normal"
negatif,Gubernur Jawa Tengah Ganjar Pranowo menanggapi kabar yang menyebut ada denda tilang untuk masyarakat tanpa denda masker. #TanpaMasker
negatif,Masih banyak aja orang2 yang berkeliaran #tanpamasker... Wajar kalau #personilmedis sampai #mogokkerja... #INDONESIATERSERAH
negatif,RT @jpnncom: Tiga provinsi yang tak menjalankan kebijakan PPKM dan PPKM skala mikro menunjukan peningkatan kasus aktif Covid-19. #Ppkmmikro https://t.co/sOhi56lRZA
negatif,benar banget tuh.â€¦ pemerintah jadikan covid ladang usaha.... yng bikin rakyat kecil mati kelaparan
negatif,Aiihh gara gara ppkm aku buang penawaran2 baik untuk besok *padahal kan hrs nya bsk jd hari menyenangkan
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,Proyek dlm penanganan covid yg pasti laris manis
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,Bukannya yg dibatasi untuk yg zona merah saja. Bukan semua pak
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,"Terus, kalo angkringan pinggir jalan.. maksimal sampai jam berapa bukanya"
netral,Ntar kalo kasus nya Naik lagi turunin lagi tutup jam 5 sore.
netral,"Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan, Memakai Masker dan Menjaga jarak)"
netral,"Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan, Memakai Masker dan Menjaga jarak)"
netral,"Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan, Memakai Masker dan Menjaga jarak)"
netral,"Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan, Memakai Masker dan Menjaga jarak)"
netral,"Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan, Memakai Masker dan Menjaga jarak)"
netral,"Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan, Memakai Masker dan Menjaga jarak)"
netral,"Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan, Memakai Masker dan Menjaga jarak)"
netral,"Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan, Memakai Masker dan Menjaga jarak)"
netral,"tapi untuk operasional dan teknis di lapangan apakah ada caranya. Kasi arahan pedagang kecil atau contoh ijinkan mereka buka tp tidak boleh makan di tempat atau wajib bawa pulang, mereka tetap buka orang kumpul2 juga tidak ada"
netral,ya terserah saja mau diperpanjang sampai kapan lo bos
netral,anda pernah bilang kalau bali penerapan protokol yg terbaik dari semua provinsi.. apa gunanya protokol itu klo tidak ada orang yg datang ke bali. Percuma saja
netral,Apa pemerintah lupa dengan ucapan bapak jokowi selaku presiden.bahwa.jangan membuat banyak aturan.negara kita negara hukum.jadi jangan seenakanya sendiri membuat aturan 
netral,PPKM kok justru kasus positif terus meningkat dimana salahnya ?
netral,masyarakat meminta jangan mengeluarkan himbauan yang merugikan masyarakat kecil tanpa solusi.
netral,"Sekedar usul saja pak jika media wartawan menanggapi kasus-kasus covid yg beredar di redam,,munkin gk terjadi berita yg signifikan,apa Indonesia mau berlarut2 dalam wabah penyakit,jika penyakit nafsu di kurangi itu bisa jika nefsu di hilangkan gk bakalan bisa setidaknya ada respon dalam kegiatan yg sudah ada protokol nya.namun jika banyak berita yg beredar dg covid munkin TDK akan selesai.sebelumnya minta maaf,hanya sekedar himbuan saja"
netral,"Menurut saya semua benar. Pak petugas benar, karena menjalankan tugas. Pengusaha juga benar, karena dia butuh uang untuk gaji karyawan"
netral,Kalau lagi diperpanjang maka bisa terjadi orang meninggal kena covid makin dikit tapi orang meninggal karena kelaparan lebih banyak
netral,Ya sama seperti dikampung saya dan di lingkungan hidup saya
netral,"Heran ya bang, masih ada aja orang yg kaga percaya corona"
netral,Berarti semua pasien yg ada di ruangan tersebut terpapar covid dong bu
netral,"Aku bukan gak menghargai maksud baik dari langkah yg di upayakn oleh pemerintah,akan tetapi tidakkah bisa sedikit mengevaluasi,sudah satu tahun menerapkan ini toh tidak ada hasil yg memadai justru cenderung meningkat,itu artinya upaya itu tidak tepat dan pas"
netral,Sekalipun inter dibuka belum tentu juga tamu datang ke bali karena negaranya juga melarang mereka berwisata
netral,Kalo di satu rumah ada yg kena pasti rumah yg lain juga ada..masa orang itu cuma berinteraksi dg keluarganya saja
netral,Bener. Yang terinfeksi oleh Covid itu paru-paru. Kenapa seluruh badan harus diisolasi
netral,Ya udah telat pun sekarang pake lockdown... waktu awal itu lockdown y masih oke... sekarang aktivitas normal baru aja
netral,Anda itu belajar sama siapa? Kota Perth Australia ada kasus covid 1 orang langsung lockdown kok satu kota
netral,Tes per harinya memang disetting menurun ya min? Atau kenapa cenderung menurun
netral,Kenapa cuma jawa bali yg diperketat sementara propinsi lain mah bebas wae
netral,"Dari pada ribet ngumumin perpanjang mulu, langsung aja PPKM sampai 0 kasus"
netral,Bpk.gubernur.... apakah tidak ada patroli gugus tugas covid 19 dki yg bisa tertibkan pedagang dan kerumunan orang ditrotoar depan RSCM dan kampus pasca sarjana uki.....tiap hari jadi tempat kerumunan
netral,"assalamuâ€™alaikum pak ini pak banyak trotoar yang sudah di renovasi dan luas buat pejalan kaki dan pesepeda, tetapi malah di gunakan oleh pemotor dan ojol, jadi trotoar pada rusak"
netral,"Apapun keputusan pemerintah entah dilockdown sebulan atau 2 bulan rakyat gk khawatir kalau tagihan listrik,air, cicilan sepeda motor, belanja harian ditanggung pemerintah"
netral,"terserah udah gk punya uang buat ke mall juga,,, muak"
netral,Diperpanjang boleh tapi Kasikan masyarakat yg kurang mampu bantuan pangan
netral,BST FEBRUARI MANA NIH...MASA PSBB TERUS TAPI BST GA TURUN TURUN 
netral,"Di stop anggaran covidnya , tim medis & media di bungkam pasti covid ilang dengan sendiri nya percaya deh"
netral,hmm...  kira2 apa sekarang bisa seperti ini lagi komunikasi juga solusi langsung dan dekat dengan warga
netral,Kalau Rakyat Malam Kelaparan mau cari makan Kemana lagi?
netral,"mending satu kota yang kena corona karena lokdown dari pada menyebar ke kota lain, jadi bisa di tangani dengan cepat, kalo udah nyebar ke kota lain gimana mau idenfikasinya"
netral,Maaf nih kalo mau ninjau jangan yg sudah rapih aja dong
netral,PPKM SKALA MIKRO POLRES PASURUAN KOTA
netral,Pengecekan Posko PPKM mikro dan Kampung Tangguh
netral,"Forkopimda Jatim meninjau pelaksanaan TMMD dan PPKM Mikro di Desa Ngrancang Kec. Tambakrejo, Kab. Bojonegoro."
netral,Operasi Yustisi Protokol Kesehatan dan pengawasan PPKM Mikro
netral,"Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan, Memakai Masker dan Menjaga jarak)"
netral,Polres Magetan Kegiatan Polsek Sukomoro Bersama Jajaran Forkopimca Kecamatan Sukomoro Laksanakan Pengecekan Posko PPKM Mikro Desa Bogem.
netral,Operasi Yustisi Prokes dan Pengawasan PPKM Mikro
netral,Polsek Selorejo Polres Blitar laksanakan pengawalan dan pengamanan pemakaman jenazah pasien Covid-19
netral,PPKM mikro diperluas hingga luar kota 
netral,"6 Daerah di Sumut Terapkan PPKM Mikro, Termasuk Pematangsiantar dan Simalungun"
netral,Kabupaten Bogor Perpanjang PPKM Mikro Hingga 22 Maret 2021
netral,Pemerintah memutuskan untuk kembali memperpanjang pelaksanaan PPKM Mikro dari 9-22 Maret 2021 di sejumlah provinsi.
netral,Pemerintah Provinsi DKI Jakarta memperpanjang masa pemberlakuan pembatasan kegiatan masyarakat (PPKM) mikro hingga 22 Maret 2021. 
netral,PPKM Mikro Surabaya Diperpanjang
netral,Pemerintah memutuskan untuk memperpanjang kebijakan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Mikro.
netral,"PPKM Mikro Turunkan Kasus COVID-19, Satgas: Kalau Ragu Silakan Amati Sampai Akhir"
netral,"Diklaim Turunkan Kasus Aktif, PPKM Mikro Diperpanjang dan Diperluas"
netral,Ridwan Kamil menerbitkan surat edaran terkait perpanjangan PPKM hingga 22 Maret.
netral,"Perpanjangan PPKM Mikro Targetkan Kasus Aktif Terus Menurun: Jumlah kasus aktif dalam angka, menunjukkan seberapa besar masalah yang ada."
netral,"Sejumlah destinasi wisata di Jakarta, seperti Ragunan dan museum mulai dibuka pada perpanjangan PPKM skala mikro. Namun jumlah pengunjung dibatas 50%."
netral,PPKM mikro jilid dua akan berakhir 8 Maret 2021.
netral,"Menurut Khofifah, PPKM atau PPKM Mikro memang menunjukkan beberapa hasil yang signifikan, namun masih diperlukan upaya yang lebih besar lagi untuk dapat menurunkan penyebaran Covid-19 di Jatim melalui perpanjangan PPKM Mikro"
netral,Pemkab Ponorogo akan melakukan penguatan Satgas Penanggulangan Covid-19 tingkat RT. Hal ini menyusul perpanjangan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Mikro mulai 8 Maret kemarin hingga 22 Maret 2021 mendatang.
netral,"Menurut Khofifah, perpanjangan PPKM Mikro tersebut berdasarkan Instruksi Menteri Dalam Negeri."
netral,Perpanjangan pemberlakuan pembatasan kegiatan masyarakat atau PPKM di Jawa Timur dilakukan dengan harapan dapat menurunkan mobilitas warga agar penularan Covid-19 bisa terkendali.
netral,"Kata Gubernur Jatim, masih diperlukan upaya yang lebih besar lagi untuk dapat menurunkan penyebaran Covid-19 di Jawa Timur melalui perpanjangan PPKM Mikro"
netral,"Menurut Khofifah, baik PPKM maupun PPKM Mikro memang sudah menunjukkan beberapa hasil yang signifikan, namun msh diperlukan upaya yang lbih besar lagi utk dpt menurunkan penyebaran Covid - 19 di Jawa Timur melalui perpanjangan PPKM Mikro"
netral,"Mau komen tentang ppkm, tapi takut di dm"
netral,Pendisiplinan Oleh Polres Tulungagung Kota dan Tim Gugus Tugas Covid-19 Melaksanakan Sosialisasi Kepada Masyarakat Tentang PPKM Guna Menekan Penyebaran Covid-19 di Kab. Tulungagung
netral,"Dalam Rangka Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) , Satlantas polres Ngawi Melaksanakan giat Sosialisasi dan pembagian Masker tentang Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM)"
netral,PPKM Mandiri Efektif tekan Penyebaran Covid-19
netral,PPKM Mikro solusi tekan Covid-19 selain vaksin
netral,PPKM Mikro Selalu Disiplin 5M
netral,"kadang pengin komentar mengenai psbb atau ppkm tp, kayanya lebih penting vaccine dehâ€¦. atau jangan2... ah sudahlah..."
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,Selalu disiplin Prokes #PPKMMikro https://t.co/uaDK8CAZIZ
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
netral,RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
